评审维度,评审项,评审标准,实际结果,评审结论,备注
范围,需求覆盖完整性,README 5特性+技术栈+治理全覆盖,16项需求覆盖5特性/3约束,通过,逐条比对需求收集清单
范围,范围一致性,需求与范围基准一致,16项需求均在02_范围基准内,通过,无范围外需求
范围,需求编号一致性,收集清单→SRS→追溯矩阵编号对应,16/16/16条数一致,通过,REQ-001~016映射REQ-FUNC-001~016
进度,里程碑达成, M2需求基线冻结按期,需求阶段全部环节完成,通过,收集/分析/编写/评审/追溯均完成
质量,需求三必填,原子行为+MoSCoW+验收标准,16项均含三必填项,通过,质量门禁①②③达标
质量,七维度分析,必选4维+可选维度按需,6维分析完成(ui跳过有理由),通过,ui为CLI工具无界面
质量,IEEE 830结构,SRS 10 Sheet完整,10个CSV Sheet齐全,通过,含追溯矩阵
质量,质量校验,八项质量特性,8/8通过(100%),通过,见SRS质量校验报告
质量,冲突消解,冲突记录全部关闭,无冲突(记录已关闭),通过,见需求冲突消解记录
风险,需求风险识别,关键需求风险已评估,复杂度标注完整,通过,高复杂度2项(编排/聚合)
风险,追溯断链率,断链率≤20%,需求→来源方向100%完整,通过,正向设计/测试用例待后续阶段建立
安全,脱敏需求,敏感信息脱敏已识别,REQ-FUNC-014已识别,通过,iron_rules §3 A/B/C级
安全,访问控制,路径访问限制,REQ-FUNC-016 PROJECT_ROOT校验,通过,安全维度分析已覆盖
